ID,MARCA,MODELO,COR,IDADE,SEXO,FATORSEGURO
117,VV,TAOS,AZUL, 72,F,12.29
118,HONDA,FIT,LARANJA, 94,F,6.70
119,HONDA,CITY,VERDE, 75,M,7.06
120,FIAT,CRONOS,VERDE, 59,M,10.07
121,VV,TCROSS,AZUL, 18,F,10.97
122,JEEP,COMPASS,CINZA, 48,F,8.64
123,HONDA,CRV,VERDE, 34,M,3.55
124,TOYOTA,HILUX,PRETO, 78,F,15.58
125,VV,TAOS,VERDE, 86,F,15.52
126,HONDA,FIT,BRANCO, 50,M,7.09
127,GM,S10,PRATA, 68,M,15.12
128,FIAT,STRADA,CINZA, 58,F,15.55
129,FIAT,FASTBACK,CINZA, 34,F,10.97
130,JEEP,RENEGADE,PRETO, 25,M,10.68
131,HONDA,CRV,PRETO, 97,M,5.78
132,HONDA,HRV,CINZA, 51,M,7.15
133,JEEP,RENEGADE,PRETO, 99,F,15.48
134,VV,GOL,LARANJA, 49,M,8.32
135,VV,SAVEIRO,AZUL, 64,F,11.23
136,GM,EQUINOX,BRANCO, 93,F,14.69
137,HYUNDAI,CRETA,CINZA, 87,F,12.25
138,VV,GOL,BRANCO, 68,M,15.06
139,GM,SPIN,PRETO, 33,F,3.50
140,FIAT,TORO,AZUL, 28,M,11.09
141,FIAT,FASTBACK,CINZA, 90,M,15.80
142,FIAT,UNO,CINZA, 90,F,20.02
143,VV,POLO,PRETO, 55,F,11.51
144,TOYOTA,COROLLA,PRETO, 78,M,7.70
145,FIAT,ARGOS,PRETO, 99,M,13.04
146,FIAT,CRONOS,BRANCO, 32,M,17.51
147,TOYOTA,COROLLA,PRATA, 41,F,6.35
148,HONDA,CRV,LARANJA, 55,F,2.88
149,VV,POLO,PRETO, 96,F,18.89
150,VV,TCROSS,LARANJA, 70,M,9.16
151,GM,EQUINOX,BRANCO, 86,M,13.32
152,GM,SPIN,PRATA, 88,M,5.26
153,HONDA,CRV,AZUL, 54,M,3.30
154,JEEP,COMMANDER,PRATA, 50,M,6.44
155,FIAT,CRONOS,VERDE, 47,M,9.81
156,VV,GOL,AZUL, 41,M,8.66
157,JEEP,COMMANDER,BRANCO, 83,F,12.09
158,JEEP,COMPASS,VERDE, 26,F,8.42
159,TOYOTA,HILUX,CINZA, 53,M,15.45
160,HONDA,WRV,CINZA, 53,M,5.72
161,VV,VIRTUS,PRATA, 67,M,8.71
162,VV,TAOS,PRETO, 90,M,17.27
163,HYUNDAI,HB20,PRATA, 19,M,15.84
164,HONDA,ZRV,VERDE, 71,F,5.28
165,FIAT,ARGOS,LARANJA, 38,M,7.25
166,JEEP,COMMANDER,LARANJA, 28,F,6.27
167,TOYOTA,HILUX,LARANJA, 69,F,12.92
168,FIAT,TORO,CINZA, 27,F,14.08
169,TOYOTA,COROLLACROSS,PRATA, 20,M,13.94
170,HYUNDAI,HB20,BRANCO, 50,M,18.06
171,VV,TCROSS,AZUL, 35,F,8.89
172,TOYOTA,COROLLACROSS,VERDE, 89,M,14.42
173,FIAT,PALIO,AZUL, 52,F,12.23
174,FIAT,CRONOS,CINZA, 88,M,17.66
175,JEEP,COMMANDER,AZUL, 49,M,5.86
176,FIAT,FASTBACK,AZUL, 48,F,7.89
177,FIAT,TORO,PRATA, 70,F,12.10
178,GM,S10,VERDE, 26,F,14.47
179,FIAT,UNO,VERDE, 23,M,13.77
180,HONDA,WRV,PRATA, 27,M,5.94
181,GM,EQUINOX,PRETO, 82,M,8.06
182,FIAT,PALIO,PRATA, 47,F,13.82
183,VV,JETTA,CINZA, 55,M,15.57
184,JEEP,RENEGADE,VERDE, 81,M,11.24
185,GM,TRAILBLAZER,PRATA, 77,M,8.13
186,TOYOTA,YARIS,PRATA, 51,F,9.41
187,FIAT,TORO,CINZA, 57,F,12.15
188,HYUNDAI,CRETA,PRATA, 35,M,8.41
189,HONDA,WRV,AZUL, 60,F,4.20
190,HYUNDAI,HB20,PRATA, 38,F,12.81
191,VV,TAOS,CINZA, 87,M,19.69
192,VV,VIRTUS,VERDE, 56,M,7.41
193,HONDA,CRV,BRANCO, 55,F,4.70
194,GM,EQUINOX,CINZA, 67,M,7.80
195,GM,SPIN,PRATA, 91,F,5.45
196,HYUNDAI,HB20,PRETO, 62,F,11.70
197,VV,TCROSS,PRATA, 50,F,9.43
198,GM,EQUINOX,CINZA, 28,F,8.00
199,FIAT,MOBI,PRETO, 59,F,3.07
200,TOYOTA,COROLLA,PRETO, 39,F,6.05
201,GM,SPIN,VERDE, 29,F,3.43
202,HONDA,FIT,PRATA, 69,F,5.37
203,TOYOTA,YARIS,BRANCO, 93,F,21.16
204,FIAT,STRADA,LARANJA, 68,F,13.13
205,HONDA,CIVIC,BRANCO, 35,F,12.02
206,JEEP,COMPASS,VERDE, 84,F,9.75
207,HYUNDAI,CRETA,LARANJA, 34,F,7.56
208,VV,VIRTUS,PRATA, 78,M,9.81
209,HYUNDAI,CRETA,PRETO, 25,F,8.79
210,JEEP,RENEGADE,VERDE, 68,F,9.44
211,FIAT,CRONOS,CINZA, 20,F,7.01
212,FIAT,MOBI,AZUL, 70,M,3.61
213,VV,SAVEIRO,LARANJA, 37,F,10.92
214,HONDA,CRV,PRATA, 98,M,6.14
215,HYUNDAI,CRETA,BRANCO, 30,M,13.03
216,FIAT,TORO,LARANJA, 23,M,11.69
217,TOYOTA,COROLLA,PRATA, 47,M,6.63
218,HONDA,WRV,PRETO, 71,F,4.99
219,VV,JETTA,CINZA, 70,M,17.21
220,FIAT,CRONOS,CINZA, 81,M,15.89
221,VV,TAOS,AZUL, 32,M,11.94
222,HONDA,ZRV,BRANCO, 70,F,7.70
223,HONDA,CRV,CINZA, 19,M,5.20
224,VV,VIRTUS,VERDE, 46,F,6.91
225,FIAT,STRADA,AZUL, 43,F,12.01
226,HONDA,WRV,LARANJA, 36,M,4.86
227,FIAT,STRADA,VERDE, 53,M,12.40
228,TOYOTA,HILUX,CINZA, 44,F,15.14
229,FIAT,CRONOS,CINZA, 51,M,5.66
230,HYUNDAI,HB20,AZUL, 36,M,11.62
231,TOYOTA,COROLLA,PRETO, 80,F,7.50
232,FIAT,CRONOS,PRATA, 56,M,5.05
233,JEEP,RENEGADE,AZUL, 28,M,9.67
234,GM,SPIN,VERDE, 40,M,3.35
235,FIAT,UNO,BRANCO, 61,F,18.38
236,GM,MONTANA,LARANJA, 70,M,9.07
237,JEEP,COMMANDER,BRANCO, 85,M,13.09
238,VV,TCROSS,PRETO, 84,M,11.94
239,FIAT,UNO,VERDE, 39,M,11.66
240,JEEP,RENEGADE,LARANJA, 32,M,9.09
241,JEEP,COMPASS,PRATA, 42,M,8.19
242,FIAT,CRONOS,AZUL, 19,F,5.66
243,FIAT,UNO,LARANJA, 93,F,16.32
244,TOYOTA,YARIS,CINZA, 63,F,10.98
245,FIAT,MOBI,AZUL, 39,M,3.28
246,JEEP,COMMANDER,AZUL, 61,M,6.06
247,HONDA,FIT,LARANJA, 19,M,5.85
248,FIAT,STRADA,AZUL, 95,F,19.39
249,GM,TRACKER,VERDE, 58,M,7.45
250,VV,SAVEIRO,AZUL, 45,M,11.02
251,GM,EQUINOX,VERDE, 78,M,7.45
252,GM,MONTANA,PRATA, 29,F,10.66
253,GM,SPIN,PRATA, 84,F,4.66
254,FIAT,STRADA,LARANJA, 47,M,11.79
255,FIAT,PALIO,AZUL, 48,F,11.86
256,JEEP,COMMANDER,AZUL, 43,F,5.84
257,VV,POLO,LARANJA, 70,F,12.04
258,VV,TAOS,BRANCO, 53,F,18.20
259,VV,JETTA,PRATA, 63,M,14.49
260,JEEP,RENEGADE,CINZA, 86,M,14.71
261,TOYOTA,COROLLACROSS,LARANJA, 97,F,15.44
262,VV,POLO,PRETO, 51,F,11.40
263,TOYOTA,COROLLACROSS,PRETO, 56,F,10.31
264,VV,GOL,PRATA, 61,M,9.76
265,HONDA,WRV,AZUL, 75,M,5.36
266,VV,POLO,BRANCO, 45,F,18.36
267,HYUNDAI,HB20,CINZA, 45,F,13.96
268,GM,SPIN,VERDE, 49,M,3.32
269,GM,EQUINOX,AZUL, 88,M,8.31
270,VV,JETTA,AZUL, 83,F,15.81
271,TOYOTA,COROLLACROSS,CINZA, 83,M,16.29
272,GM,EQUINOX,PRETO, 94,M,9.90
273,VV,SAVEIRO,AZUL, 21,M,13.68
274,HONDA,CRV,PRETO, 97,F,5.38
275,VV,TCROSS,VERDE, 58,M,8.64
276,TOYOTA,YARIS,VERDE, 87,F,11.66
277,HONDA,HRV,PRATA, 77,M,7.89
278,FIAT,PALIO,LARANJA, 90,F,17.42
279,HONDA,CRV,BRANCO, 57,M,5.21
280,FIAT,UNO,PRATA, 64,M,12.92
281,GM,EQUINOX,CINZA, 83,F,9.58
282,JEEP,COMPASS,VERDE, 99,F,12.51
283,TOYOTA,YARIS,AZUL, 70,M,9.26
284,FIAT,TORO,PRETO, 68,M,11.36
285,GM,TRACKER,AZUL, 62,M,7.45
286,VV,TAOS,AZUL, 64,F,11.13
287,HYUNDAI,HB20,PRATA, 51,M,12.31
288,JEEP,RENEGADE,LARANJA, 28,M,9.45
289,HONDA,HRV,PRETO, 61,F,6.47
290,JEEP,COMPASS,PRATA, 74,M,9.35
291,GM,TRAILBLAZER,PRATA, 41,F,6.62
292,FIAT,MOBI,PRETO, 23,M,4.35
293,FIAT,PALIO,BRANCO, 88,M,29.21
294,GM,EQUINOX,PRETO, 27,M,7.09
295,VV,VIRTUS,PRATA, 28,F,8.95
296,GM,EQUINOX,PRETO, 84,M,8.48
297,FIAT,ARGOS,CINZA, 74,F,10.21
298,TOYOTA,COROLLACROSS,VERDE, 38,F,10.08
299,TOYOTA,COROLLA,PRETO, 43,M,6.24
300,JEEP,COMPASS,VERDE, 95,F,11.41
301,HONDA,HRV,PRATA, 19,M,8.49
302,HONDA,FIT,CINZA, 83,F,7.45
303,TOYOTA,COROLLACROSS,LARANJA, 76,M,11.30
304,FIAT,STRADA,PRETO, 32,F,14.22
305,VV,TCROSS,AZUL, 89,M,12.42
306,VV,VIRTUS,PRATA, 86,F,11.14
307,HONDA,CRV,PRETO, 37,F,3.70
308,TOYOTA,HILUX,LARANJA, 69,F,12.84
309,FIAT,MOBI,AZUL, 76,M,4.01
310,GM,S10,PRATA, 97,F,22.64
311,HONDA,FIT,LARANJA, 31,M,4.90
312,HONDA,WRV,LARANJA, 24,M,5.43
313,VV,SAVEIRO,AZUL, 46,F,10.80
314,HONDA,HRV,BRANCO, 34,M,10.14
315,VV,TCROSS,LARANJA, 66,M,8.68
316,FIAT,FASTBACK,VERDE, 93,F,12.95
317,JEEP,RENEGADE,PRATA, 75,M,11.38
318,JEEP,COMPASS,PRATA, 20,F,10.20
319,VV,VIRTUS,CINZA, 86,F,12.47
320,JEEP,COMMANDER,VERDE, 55,M,6.13
321,VV,VIRTUS,PRATA, 83,M,10.74
322,VV,VIRTUS,PRATA, 66,M,8.69
323,VV,JETTA,PRATA, 48,M,13.66
324,FIAT,ARGOS,PRETO, 62,F,7.53
325,HONDA,WRV,VERDE, 76,F,5.18
326,VV,TAOS,CINZA, 30,M,15.45
327,FIAT,CRONOS,PRATA, 93,M,17.09
328,FIAT,UNO,PRETO, 57,M,11.88
329,HONDA,CIVIC,BRANCO, 49,F,11.66
330,GM,SPIN,CINZA, 79,F,4.86
331,VV,SAVEIRO,VERDE, 66,F,12.07
332,HONDA,CITY,PRATA, 87,F,8.83
333,FIAT,MOBI,LARANJA, 44,M,3.15
334,FIAT,ARGOS,PRATA, 44,F,7.91
335,HONDA,CIVIC,LARANJA, 35,M,7.41
336,GM,ONIX,LARANJA, 20,M,11.91
337,TOYOTA,HILUX,AZUL, 24,M,14.60
338,GM,TRAILBLAZER,LARANJA, 27,F,6.53
339,VV,POLO,VERDE, 46,M,11.30
340,GM,SPIN,VERDE, 59,M,3.41
341,TOYOTA,HILUX,AZUL, 49,M,12.06
342,HONDA,HRV,LARANJA, 76,M,6.92
343,FIAT,CRONOS,CINZA, 47,F,5.64
344,FIAT,FASTBACK,PRETO, 29,M,10.17
345,VV,POLO,AZUL, 65,F,11.32
346,FIAT,ARGOS,LARANJA, 75,F,8.36
347,FIAT,STRADA,PRETO, 57,M,13.12
348,FIAT,PALIO,VERDE, 55,M,12.51
349,FIAT,CRONOS,PRATA, 84,F,6.48
350,JEEP,RENEGADE,VERDE, 58,M,8.85
351,FIAT,CRONOS,PRETO, 57,F,4.98
352,FIAT,FASTBACK,LARANJA, 35,F,8.56
353,FIAT,PALIO,CINZA, 54,M,15.39
354,GM,ONIX,VERDE, 47,M,9.87
355,TOYOTA,HILUX,AZUL, 95,F,19.66
356,GM,EQUINOX,AZUL, 58,F,5.47
357,FIAT,STRADA,LARANJA, 63,M,12.50
358,HYUNDAI,HB20,VERDE, 33,F,12.18
359,TOYOTA,YARIS,VERDE, 60,M,8.95
360,GM,TRAILBLAZER,BRANCO, 25,F,11.31
361,TOYOTA,COROLLA,PRATA, 98,F,10.94
362,FIAT,CRONOS,VERDE, 55,F,9.96
363,JEEP,COMMANDER,PRATA, 67,F,6.95
364,GM,EQUINOX,AZUL, 94,M,9.20
365,VV,TCROSS,VERDE, 35,M,9.12
366,HONDA,ZRV,VERDE, 63,F,4.81
367,GM,TRACKER,PRATA, 27,F,9.31
368,JEEP,COMMANDER,VERDE, 38,M,6.35
369,GM,ONIX,CINZA, 54,M,12.13
370,JEEP,RENEGADE,CINZA, 58,M,10.80
371,VV,VIRTUS,VERDE, 33,F,7.88
372,HONDA,CRV,VERDE, 30,M,3.76
373,GM,ONIX,LARANJA, 52,F,9.55
374,TOYOTA,YARIS,PRATA, 73,M,11.08
375,FIAT,STRADA,CINZA, 56,F,15.63
376,HONDA,CIVIC,VERDE, 94,M,11.58
377,HYUNDAI,CRETA,PRATA, 25,F,9.55
378,VV,GOL,PRATA, 44,M,9.51
379,VV,SAVEIRO,VERDE, 31,M,12.42
380,FIAT,TORO,PRATA, 26,M,12.80
381,VV,TAOS,PRATA, 41,M,12.63
382,GM,ONIX,PRATA, 89,M,16.10
383,FIAT,FASTBACK,VERDE, 66,M,9.12
384,VV,TCROSS,VERDE, 22,F,10.66
385,FIAT,CRONOS,CINZA, 56,M,5.67
386,FIAT,MOBI,PRETO, 92,F,5.38
387,TOYOTA,YARIS,PRATA, 59,F,9.23
388,HONDA,HRV,PRETO, 59,M,6.34
389,VV,TCROSS,LARANJA, 57,F,8.03
390,FIAT,CRONOS,BRANCO, 26,M,8.50
391,JEEP,RENEGADE,PRATA, 45,F,9.40
392,TOYOTA,COROLLACROSS,CINZA, 70,M,13.73
393,FIAT,MOBI,VERDE, 34,F,3.38
394,JEEP,RENEGADE,LARANJA, 40,F,8.45
395,HONDA,ZRV,VERDE, 91,F,6.84
396,JEEP,RENEGADE,BRANCO, 21,F,17.15
397,HONDA,FIT,CINZA, 25,M,6.75
398,JEEP,RENEGADE,PRATA, 60,M,9.58
399,GM,S10,CINZA, 48,F,15.12
400,TOYOTA,HILUX,PRETO, 73,F,14.58
401,JEEP,RENEGADE,VERDE, 65,M,9.21
402,GM,MONTANA,PRETO, 75,M,10.57
403,TOYOTA,HILUX,LARANJA, 32,F,12.97
404,JEEP,RENEGADE,AZUL, 57,F,8.29
405,FIAT,FASTBACK,PRATA, 56,F,9.21
406,VV,GOL,AZUL, 65,M,8.82
407,FIAT,TORO,AZUL, 97,M,16.12
408,FIAT,STRADA,LARANJA, 86,M,16.64
409,VV,JETTA,AZUL, 49,M,12.10
410,HONDA,WRV,AZUL, 49,M,4.56
411,VV,GOL,AZUL, 53,F,8.28
412,FIAT,TORO,PRETO, 64,F,10.82
413,HONDA,HRV,VERDE, 79,F,7.55
414,JEEP,RENEGADE,CINZA, 21,F,13.27
415,FIAT,CRONOS,AZUL, 30,F,5.14
416,FIAT,PALIO,PRETO, 62,M,13.58
417,HONDA,CRV,CINZA, 48,M,3.93
418,VV,POLO,LARANJA, 22,F,13.29
419,VV,POLO,LARANJA, 55,F,10.38
420,FIAT,TORO,AZUL, 63,F,9.92
421,TOYOTA,YARIS,BRANCO, 89,F,20.07
422,FIAT,TORO,PRETO, 82,M,13.46
423,TOYOTA,HILUX,CINZA, 28,M,17.68
424,GM,SPIN,LARANJA, 43,F,3.36
425,JEEP,RENEGADE,PRETO, 98,M,15.22
426,TOYOTA,HILUX,CINZA, 52,F,15.45
427,GM,ONIX,CINZA, 73,F,13.83
428,JEEP,RENEGADE,VERDE, 64,M,9.13
429,JEEP,RENEGADE,AZUL, 59,F,8.58
430,FIAT,TORO,PRETO, 54,F,10.23
431,FIAT,UNO,CINZA, 72,F,15.76
432,VV,SAVEIRO,PRATA, 65,M,13.28
433,GM,TRACKER,AZUL, 43,F,7.08
434,TOYOTA,HILUX,CINZA, 92,F,23.49
435,FIAT,CRONOS,AZUL, 30,M,5.01
436,VV,JETTA,LARANJA, 77,M,14.64
437,FIAT,FASTBACK,PRETO, 81,M,11.67
438,JEEP,RENEGADE,CINZA, 62,M,10.90
439,VV,POLO,LARANJA, 40,M,11.00
440,VV,JETTA,CINZA, 95,M,25.00
441,VV,POLO,CINZA, 25,F,16.48
442,TOYOTA,YARIS,PRETO, 22,M,11.02
443,FIAT,CRONOS,PRETO, 73,M,11.85
444,JEEP,COMPASS,PRATA, 68,M,8.71
445,JEEP,RENEGADE,AZUL, 25,F,9.79
446,VV,VIRTUS,LARANJA, 31,M,7.84
447,FIAT,MOBI,VERDE, 91,F,4.92
448,JEEP,RENEGADE,LARANJA, 93,M,12.89
449,GM,TRAILBLAZER,BRANCO, 59,M,9.77
450,FIAT,PALIO,CINZA, 50,M,15.31
451,HYUNDAI,CRETA,CINZA, 25,F,10.46
452,VV,VIRTUS,CINZA, 49,F,8.62
453,TOYOTA,HILUX,PRETO, 55,M,13.18
454,GM,TRAILBLAZER,BRANCO, 29,F,10.60
455,VV,VIRTUS,VERDE, 78,M,9.01
456,JEEP,COMPASS,PRATA, 86,F,11.18
457,HONDA,ZRV,PRATA, 57,M,5.19
458,GM,TRAILBLAZER,PRETO, 28,F,7.01
459,HYUNDAI,HB20,PRETO, 94,M,18.51
460,FIAT,UNO,CINZA, 95,F,22.05
461,HONDA,CRV,LARANJA, 47,M,3.28
462,GM,TRAILBLAZER,AZUL, 37,F,5.77
463,VV,TCROSS,CINZA, 49,F,10.38
464,FIAT,FASTBACK,PRETO, 70,M,10.01
465,HONDA,HRV,AZUL, 54,M,5.74
466,GM,TRAILBLAZER,AZUL, 52,M,5.70
467,HONDA,ZRV,PRATA, 33,M,5.43
468,GM,EQUINOX,VERDE, 24,F,6.90
469,TOYOTA,HILUX,VERDE, 94,M,19.81
470,GM,MONTANA,CINZA, 80,F,13.51
471,HYUNDAI,HB20,VERDE, 67,F,12.10
472,TOYOTA,YARIS,AZUL, 46,M,8.23
473,HONDA,CRV,CINZA, 30,M,4.57
474,HYUNDAI,HB20,PRETO, 87,M,16.54
475,GM,MONTANA,BRANCO, 97,M,23.18
476,HYUNDAI,CRETA,CINZA, 82,F,11.32
477,JEEP,COMMANDER,VERDE, 28,M,6.80
478,HYUNDAI,HB20,VERDE, 35,F,11.53
479,FIAT,PALIO,PRATA, 87,M,19.58
480,GM,MONTANA,VERDE, 93,M,13.53
481,HONDA,HRV,PRETO, 26,M,7.13
482,HONDA,WRV,VERDE, 34,F,4.89
483,FIAT,UNO,AZUL, 64,M,11.37
484,HYUNDAI,HB20,BRANCO, 53,M,18.02
485,VV,VIRTUS,PRETO, 64,M,8.10
486,HONDA,CRV,VERDE, 50,F,3.19
487,VV,JETTA,AZUL, 57,M,12.33
488,FIAT,CRONOS,CINZA, 98,F,9.62
489,VV,JETTA,PRATA, 42,F,14.08
490,FIAT,CRONOS,BRANCO, 36,M,16.87
491,HONDA,CIVIC,CINZA, 95,F,14.37
492,HONDA,CRV,LARANJA, 24,M,3.95
493,JEEP,COMMANDER,LARANJA, 82,M,7.47
494,FIAT,CRONOS,LARANJA, 40,F,4.33
495,GM,TRAILBLAZER,LARANJA, 89,M,8.45
496,GM,S10,CINZA, 92,M,23.74
497,TOYOTA,YARIS,PRETO, 42,M,9.00
498,TOYOTA,YARIS,VERDE, 57,M,8.76
499,FIAT,CRONOS,VERDE, 18,M,6.10
500,GM,SPIN,BRANCO, 79,F,6.39
501,GM,ONIX,PRATA, 67,F,11.62
502,FIAT,CRONOS,CINZA, 94,F,19.23
503,FIAT,STRADA,PRETO, 34,F,13.76
504,TOYOTA,YARIS,LARANJA, 48,M,8.07
505,FIAT,MOBI,CINZA, 63,M,4.25
506,HYUNDAI,HB20,PRETO, 38,M,12.17
507,HYUNDAI,CRETA,PRATA, 52,F,8.00
508,TOYOTA,HILUX,CINZA, 81,M,20.08
509,JEEP,RENEGADE,VERDE, 47,M,8.47
510,GM,TRAILBLAZER,AZUL, 87,M,8.25
511,HONDA,CIVIC,PRETO, 37,F,7.49
512,HONDA,CITY,VERDE, 30,F,6.75
513,TOYOTA,COROLLA,LARANJA, 68,M,6.15
514,GM,S10,PRETO, 77,M,15.92
515,HYUNDAI,HB20,VERDE, 48,F,10.89
516,HONDA,CRV,CINZA, 85,F,5.27
517,FIAT,STRADA,PRATA, 66,F,14.61
518,TOYOTA,COROLLA,CINZA, 77,M,8.77
519,GM,MONTANA,CINZA, 52,F,10.54
520,TOYOTA,YARIS,PRATA, 35,M,10.19
